"Descrição","Valor","Encargos","Lançamento","Vencimento","Efetivação","Recorrência","Parcela","Parcelas","Categoria","Subcategoria","Cartão","Conta","Observações"
"Financiamento Fiesta  14/48","931.48","0.00","18/11/2025 20:19","25/11/2026","-","Parcelada (mensal)","14","48","Carro","Financiamento","-","Nubank",""
"Prev. mercado","1100.00","0.00","20/05/2025 00:09","24/11/2026","-","Fixa mensal","0","0","Mercado","Outros","-","Pluxee",""
"Internet","119.99","0.00","25/11/2024 18:18","21/11/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/11/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Tim","52.18","0.00","16/08/2024 18:24","16/11/2026","-","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Carregador Isa  7/7","23.86","0.00","12/04/2026 19:16","12/11/2026","-","Parcelada (mensal)","7","7","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Nível 6 ML","19.90","0.00","04/09/2023 21:46","12/11/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"S24 Ultra  8/18","233.83","0.00","23/03/2026 13:32","12/11/2026","-","Parcelada (mensal)","8","18","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Pagamento pais  6/12","416.66","0.00","09/05/2026 23:07","11/11/2026","-","Parcelada (mensal)","6","12","Entrada AP","Outros","Santander","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/11/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Condomínio","351.01","0.00","10/06/2024 20:42","10/11/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Financiamento AP","719.00","0.00","10/02/2025 23:53","10/11/2026","-","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","167.98","0.00","10/06/2024 20:44","10/11/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/11/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cartão Isa","111.27","0.00","07/11/2024 23:24","08/11/2026","-","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Prev. Dízimo","470.00","0.00","02/12/2024 13:58","02/11/2026","-","Fixa mensal","0","0","Igreja","Dízimo","-","Nubank",""
"Gympass","69.90","0.00","08/06/2026 23:49","28/10/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Gympass Isa","69.90","0.00","05/05/2026 19:28","28/10/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Prev. Comida","600.00","0.00","02/12/2024 13:56","27/10/2026","-","Fixa mensal","0","0","Alimentação","Outros","-","Nubank",""
"Prev. Gasolina","300.00","0.00","27/11/2024 13:54","27/10/2026","-","Fixa mensal","0","0","Carro","Combustível","-","Nubank",""
"Coisas Futura","21.00","0.00","25/03/2026 14:24","25/10/2026","-","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
"Financiamento Fiesta  13/48","931.48","0.00","18/11/2025 20:19","25/10/2026","-","Parcelada (mensal)","13","48","Carro","Financiamento","-","Nubank",""
"Prev. mercado","1100.00","0.00","20/05/2025 00:09","24/10/2026","-","Fixa mensal","0","0","Mercado","Outros","-","Pluxee",""
"Internet","119.99","0.00","25/11/2024 18:18","21/10/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/10/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Tim","52.18","0.00","16/08/2024 18:24","16/10/2026","-","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Carregador Isa  6/7","23.86","0.00","12/04/2026 19:16","12/10/2026","-","Parcelada (mensal)","6","7","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Nível 6 ML","19.90","0.00","04/09/2023 21:46","12/10/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"S24 Ultra  7/18","233.83","0.00","23/03/2026 13:32","12/10/2026","-","Parcelada (mensal)","7","18","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Pagamento pais  5/12","416.66","0.00","09/05/2026 23:07","11/10/2026","-","Parcelada (mensal)","5","12","Entrada AP","Outros","Santander","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/10/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Condomínio","351.01","0.00","10/06/2024 20:42","10/10/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Financiamento AP","719.00","0.00","10/02/2025 23:53","10/10/2026","-","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","167.98","0.00","10/06/2024 20:44","10/10/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/10/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cartão Isa","111.27","0.00","07/11/2024 23:24","08/10/2026","-","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Prev. Dízimo","470.00","0.00","02/12/2024 13:58","02/10/2026","-","Fixa mensal","0","0","Igreja","Dízimo","-","Nubank",""
"Gympass","69.90","0.00","08/06/2026 23:49","28/09/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Gympass Isa","69.90","0.00","05/05/2026 19:28","28/09/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Prev. Comida","600.00","0.00","02/12/2024 13:56","27/09/2026","-","Fixa mensal","0","0","Alimentação","Outros","-","Nubank",""
"Prev. Gasolina","300.00","0.00","27/11/2024 13:54","27/09/2026","-","Fixa mensal","0","0","Carro","Combustível","-","Nubank",""
"Coisas Futura","21.00","0.00","25/03/2026 14:24","25/09/2026","-","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
"Financiamento Fiesta  12/48","931.48","0.00","18/11/2025 20:19","25/09/2026","-","Parcelada (mensal)","12","48","Carro","Financiamento","-","Nubank",""
"Prev. mercado","1100.00","0.00","20/05/2025 00:09","24/09/2026","-","Fixa mensal","0","0","Mercado","Outros","-","Pluxee",""
"Internet","119.99","0.00","25/11/2024 18:18","21/09/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/09/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Tim","52.18","0.00","16/08/2024 18:24","16/09/2026","-","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Carregador Isa  5/7","23.86","0.00","12/04/2026 19:16","12/09/2026","-","Parcelada (mensal)","5","7","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Corda baixo  6/6","16.66","0.00","27/03/2026 07:18","12/09/2026","-","Parcelada (mensal)","6","6","Música","Corda","Mercado Pagos","Nubank",""
"Nível 6 ML","19.90","0.00","04/09/2023 21:46","12/09/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"S24 Ultra  6/18","233.83","0.00","23/03/2026 13:32","12/09/2026","-","Parcelada (mensal)","6","18","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Pagamento pais  4/12","416.66","0.00","09/05/2026 23:07","11/09/2026","-","Parcelada (mensal)","4","12","Entrada AP","Outros","Santander","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/09/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Condomínio","351.01","0.00","10/06/2024 20:42","10/09/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Financiamento AP","719.00","0.00","10/02/2025 23:53","10/09/2026","-","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","167.98","0.00","10/06/2024 20:44","10/09/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/09/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cartão Isa","111.27","0.00","07/11/2024 23:24","08/09/2026","-","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Prev. Dízimo","470.00","0.00","02/12/2024 13:58","02/09/2026","-","Fixa mensal","0","0","Igreja","Dízimo","-","Nubank",""
"Gympass","69.90","0.00","08/06/2026 23:49","28/08/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Gympass Isa","69.90","0.00","05/05/2026 19:28","28/08/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Santanas Ranch  5/5","347.76","0.00","24/04/2026 21:48","28/08/2026","-","Parcelada (mensal)","5","5","Viagem","Pacotes","NuBank","Nubank",""
"Seguro  12/12","274.48","0.00","18/09/2025 20:06","28/08/2026","-","Parcelada (mensal)","12","12","Carro","Seguro","NuBank","Nubank",""
"Prev. Comida","600.00","0.00","02/12/2024 13:56","27/08/2026","-","Fixa mensal","0","0","Alimentação","Outros","-","Nubank",""
"Prev. Gasolina","300.00","0.00","27/11/2024 13:54","27/08/2026","-","Fixa mensal","0","0","Carro","Combustível","-","Nubank",""
"Coisas Futura","21.00","0.00","25/03/2026 14:24","25/08/2026","-","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
"Financiamento Fiesta  11/48","931.48","0.00","18/11/2025 20:19","25/08/2026","-","Parcelada (mensal)","11","48","Carro","Financiamento","-","Nubank",""
"Prev. mercado","1100.00","0.00","20/05/2025 00:09","24/08/2026","-","Fixa mensal","0","0","Mercado","Outros","-","Pluxee",""
"Internet","119.99","0.00","25/11/2024 18:18","21/08/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/08/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Tim","52.18","0.00","16/08/2024 18:24","16/08/2026","-","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Carregador Isa  4/7","23.86","0.00","12/04/2026 19:16","12/08/2026","-","Parcelada (mensal)","4","7","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Corda baixo  5/6","16.66","0.00","27/03/2026 07:18","12/08/2026","-","Parcelada (mensal)","5","6","Música","Corda","Mercado Pagos","Nubank",""
"Nível 6 ML","19.90","0.00","04/09/2023 21:46","12/08/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"S24 Ultra  5/18","233.83","0.00","23/03/2026 13:32","12/08/2026","-","Parcelada (mensal)","5","18","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Pagamento pais  3/12","416.66","0.00","09/05/2026 23:07","11/08/2026","-","Parcelada (mensal)","3","12","Entrada AP","Outros","Santander","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/08/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Condomínio","351.01","0.00","10/06/2024 20:42","10/08/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Financiamento AP","719.00","0.00","10/02/2025 23:53","10/08/2026","-","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","167.98","0.00","10/06/2024 20:44","10/08/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/08/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cartão Isa","111.27","0.00","07/11/2024 23:24","08/08/2026","-","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Prev. Dízimo","470.00","0.00","02/12/2024 13:58","02/08/2026","-","Fixa mensal","0","0","Igreja","Dízimo","-","Nubank",""
"Gympass","69.90","0.00","08/06/2026 23:49","28/07/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Gympass Isa","69.90","0.00","05/05/2026 19:28","28/07/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Santanas Ranch  4/5","347.76","0.00","24/04/2026 21:48","28/07/2026","-","Parcelada (mensal)","4","5","Viagem","Pacotes","NuBank","Nubank",""
"Seguro  11/12","274.48","0.00","18/09/2025 20:06","28/07/2026","-","Parcelada (mensal)","11","12","Carro","Seguro","NuBank","Nubank",""
"Prev. Comida","600.00","0.00","02/12/2024 13:56","27/07/2026","-","Fixa mensal","0","0","Alimentação","Outros","-","Nubank",""
"Coisas Futura","21.00","0.00","25/03/2026 14:24","25/07/2026","-","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
"Financiamento Fiesta  10/48","931.48","0.00","18/11/2025 20:19","25/07/2026","-","Parcelada (mensal)","10","48","Carro","Financiamento","-","Nubank",""
"Prev. mercado","1100.00","0.00","20/05/2025 00:09","24/07/2026","-","Fixa mensal","0","0","Mercado","Outros","-","Pluxee",""
"Internet","119.99","0.00","25/11/2024 18:18","21/07/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/07/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Tim","52.18","0.00","16/08/2024 18:24","16/07/2026","-","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Carregador Isa  3/7","23.86","0.00","12/04/2026 19:16","12/07/2026","-","Parcelada (mensal)","3","7","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Corda baixo  4/6","16.66","0.00","27/03/2026 07:18","12/07/2026","-","Parcelada (mensal)","4","6","Música","Corda","Mercado Pagos","Nubank",""
"Nível 6 ML","19.90","0.00","04/09/2023 21:46","12/07/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"S24 Ultra  4/18","233.83","0.00","23/03/2026 13:32","12/07/2026","-","Parcelada (mensal)","4","18","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Tenis Isa Adidas  8/8","21.24","0.00","05/12/2025 18:25","12/07/2026","-","Parcelada (mensal)","8","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tênis Nike  8/8","33.74","0.00","05/12/2025 18:26","12/07/2026","-","Parcelada (mensal)","8","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Pagamento pais  2/12","416.66","0.00","09/05/2026 23:07","11/07/2026","-","Parcelada (mensal)","2","12","Entrada AP","Outros","Santander","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/07/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Atacadão pt 02","156.57","0.00","01/06/2026 23:06","10/07/2026","-","Nenhuma","0","0","Mercado","Outros","Santander","Nubank",""
"Combustível","80.01","0.00","03/06/2026 14:25","10/07/2026","-","Nenhuma","0","0","Carro","Combustível","Santander","Nubank",""
"Combustível","158.30","0.00","30/05/2026 21:46","10/07/2026","-","Nenhuma","0","0","Carro","Combustível","Santander","Nubank",""
"Condomínio","351.01","0.00","10/06/2024 20:42","10/07/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Financiamento AP","719.00","0.00","10/02/2025 23:53","10/07/2026","-","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","167.98","0.00","10/06/2024 20:44","10/07/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Mercado","35.19","0.00","31/05/2026 13:37","10/07/2026","-","Nenhuma","0","0","Mercado","Outros","Santander","Nubank",""
"Sabonete Isa","68.80","0.00","31/05/2026 14:29","10/07/2026","-","Nenhuma","0","0","Beleza","Produtos","Santander","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/07/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cartão Isa","111.27","0.00","07/11/2024 23:24","08/07/2026","-","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Prev. Dízimo","470.00","0.00","02/12/2024 13:58","02/07/2026","-","Fixa mensal","0","0","Igreja","Dízimo","-","Nubank",""
"Blusa Isa Brasil","59.98","0.00","13/06/2026 19:24","29/06/2026","-","Nenhuma","0","0","Vestuário","Blusas","NuBank","Nubank",""
"Bolinhas água","34.50","0.00","13/06/2026 19:24","29/06/2026","-","Nenhuma","0","0","Outros","Outros","NuBank","Nubank",""
"Coca zero","10.99","0.00","13/06/2026 19:24","29/06/2026","-","Nenhuma","0","0","Alimentação","Bebidas","NuBank","Nubank",""
"Di madre","160.27","0.00","12/06/2026 19:22","29/06/2026","-","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Estacionamento","2.70","0.00","13/06/2026 19:24","29/06/2026","-","Nenhuma","0","0","Carro","Estacionamento","NuBank","Nubank",""
"Gympass","69.99","0.00","08/06/2026 23:51","29/06/2026","-","Nenhuma","0","0","Saúde","Academia","NuBank","Nubank",""
"Gympass Isa","69.99","0.00","08/06/2026 23:49","29/06/2026","-","Nenhuma","0","0","Saúde","Academia","NuBank","Nubank",""
"Alface do lanche","11.78","0.00","09/05/2026 16:17","28/06/2026","-","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Assado almoço","59.58","0.00","03/05/2026 19:41","28/06/2026","-","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Cabelo","45.00","0.00","19/05/2026 19:28","28/06/2026","-","Nenhuma","0","0","Beleza","Cabelo","NuBank","Nubank",""
"Combustível","166.03","0.00","20/05/2026 21:16","28/06/2026","-","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Crema","88.02","0.00","15/06/2026 21:12","28/06/2026","-","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Crema","284.48","0.00","05/06/2026 18:26","28/06/2026","-","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Farmácia","63.40","0.00","13/05/2026 22:57","28/06/2026","-","Nenhuma","0","0","Saúde","Remédios","NuBank","Nubank",""
"Figurinha Derick","35.00","0.00","10/05/2026 21:04","28/06/2026","-","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Gasolina","96.61","0.00","11/06/2026 14:43","28/06/2026","-","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Gasolina","228.56","0.00","05/05/2026 14:02","28/06/2026","-","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Gympass","69.90","0.00","05/05/2026 19:29","28/06/2026","-","Nenhuma","0","0","Saúde","Academia","NuBank","Nubank",""
"Gympass Isa","9.90","0.00","05/05/2026 19:28","28/06/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Mercado","5.24","0.00","04/05/2026 22:34","28/06/2026","-","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Mercado","137.26","0.00","20/05/2026 00:20","28/06/2026","-","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Mercado Crema","424.26","0.00","04/05/2026 22:34","28/06/2026","-","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Pagamento antecipado","-2225.20","0.00","08/06/2026 00:00","28/06/2026","-","Nenhuma","0","0","Cartões de crédito","Adiantamento fatura","NuBank","Nubank",""
"Presente Amiga Isa","54.00","0.00","23/05/2026 09:35","28/06/2026","-","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Presente Mãe","75.00","0.00","10/05/2026 21:04","28/06/2026","-","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Presente Sid","85.50","0.00","09/05/2026 16:18","28/06/2026","-","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Remédio Dor braço Isa","17.57","0.00","09/05/2026 23:06","28/06/2026","-","Nenhuma","0","0","Saúde","Remédios","NuBank","Nubank",""
"Remédio Dor braço Isa","99.18","0.00","09/06/2026 23:09","28/06/2026","-","Nenhuma","0","0","Saúde","Remédios","NuBank","Nubank",""
"Remédio Dor braço Isa","44.43","0.00","11/06/2026 20:32","28/06/2026","-","Nenhuma","0","0","Saúde","Remédios","NuBank","Nubank",""
"Santanas Ranch  2/5","347.76","0.00","24/04/2026 21:48","28/06/2026","-","Parcelada (mensal)","2","5","Viagem","Pacotes","NuBank","Nubank",""
"Santanas Ranch  3/5","347.76","0.00","24/04/2026 21:48","28/06/2026","-","Parcelada (mensal)","3","5","Viagem","Pacotes","NuBank","Nubank",""
"Seguro  10/12","274.48","0.00","18/09/2025 20:06","28/06/2026","-","Parcelada (mensal)","10","12","Carro","Seguro","NuBank","Nubank",""
"Seguro  9/12","274.48","0.00","18/09/2025 20:06","28/06/2026","-","Parcelada (mensal)","9","12","Carro","Seguro","NuBank","Nubank",""
"Uber","18.97","0.00","08/05/2026 09:26","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","14.95","0.00","14/05/2026 12:27","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","17.94","0.00","16/06/2026 16:30","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","18.99","0.00","08/05/2026 12:43","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","16.98","0.00","27/05/2026 18:17","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","13.98","0.00","18/05/2026 15:57","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","9.94","0.00","10/05/2026 21:04","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","16.95","0.00","05/05/2026 19:32","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","15.94","0.00","18/05/2026 15:57","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","13.95","0.00","16/06/2026 16:30","28/06/2026","-","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Coisas Futura","24.00","0.00","25/03/2026 14:24","25/06/2026","-","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
"Financiamento Fiesta  9/48","922.03","0.00","18/11/2025 20:19","25/06/2026","09/06/2026","Parcelada (mensal)","9","48","Carro","Financiamento","-","Nubank",""
"Internet","119.99","0.00","25/11/2024 18:18","21/06/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/06/2026","08/06/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Exame Isa","60.00","0.00","17/06/2026 14:03","17/06/2026","17/06/2026","Nenhuma","0","0","Saúde","Consulta","-","Nubank",""
"Unha Isa","40.00","0.00","17/06/2026 14:02","17/06/2026","17/06/2026","Nenhuma","0","0","Beleza","Unha","-","Nubank",""
"Tim","52.18","0.00","16/08/2024 18:24","16/06/2026","08/06/2026","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Carregador Isa  2/7","23.86","0.00","12/04/2026 19:16","12/06/2026","08/06/2026","Parcelada (mensal)","2","7","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Corda baixo  3/6","16.66","0.00","27/03/2026 07:18","12/06/2026","08/06/2026","Parcelada (mensal)","3","6","Música","Corda","Mercado Pagos","Nubank",""
"Nível 6 ML","19.90","0.00","04/09/2023 21:46","12/06/2026","08/06/2026","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"S24 Ultra  3/18","233.83","0.00","23/03/2026 13:32","12/06/2026","08/06/2026","Parcelada (mensal)","3","18","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Tenis Isa Adidas  7/8","21.24","0.00","05/12/2025 18:25","12/06/2026","08/06/2026","Parcelada (mensal)","7","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tênis Nike  7/8","33.74","0.00","05/12/2025 18:26","12/06/2026","08/06/2026","Parcelada (mensal)","7","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
